,initial-vals,decisions,info-levels,received-count,failed-count,key,is-correct-answer,reason
0,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",14,16,"[1, 1, 1]",True,-
1,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",15,15,"[2, 2, 2]",False,Agreement
2,"[1, 1, 1]","[1, 1, 1]","[3, 3, 3]",18,12,"[1, 1, 1]",True,-
3,"[1, 1, 1]","[0, 0, 0]","[2, 1, 1]",12,18,"[3, 3, 3]",True,-
4,"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]",16,14,"[1, 1, 1]",True,-
5,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",11,19,"[3, 3, 3]",True,-
6,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",16,14,"[2, 2, 2]",True,-
7,"[1, 1, 1]","[0, 0, 0]","[3, 3, 3]",23,7,"[5, 5, 5]",True,-
8,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",15,15,"[3, 3, 3]",True,-
9,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",11,19,"[4, 4, 4]",True,-
10,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",16,14,"[5, 5, 5]",True,-
11,"[1, 1, 1]","[1, 1, 1]","[2, 3, 2]",16,14,"[2, 2, 2]",True,-
12,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",7,23,"[4, 4, 4]",True,-
13,"[1, 1, 1]","[1, 0, 0]","[3, 2, 2]",16,14,"[3, 3, 3]",False,Agreement
14,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",14,16,"[3, 3, 3]",True,-
15,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",13,17,"[5, 5, 5]",True,-
16,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",14,16,"[5, 5, 5]",True,-
17,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",13,17,"[5, 5, 5]",True,-
18,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",14,16,"[4, 4, 4]",True,-
19,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",11,19,"[4, 4, 4]",True,-
20,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",15,15,"[2, 2, 2]",True,-
21,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
22,"[1, 1, 1]","[0, 0, 0]","[3, 4, 3]",22,8,"[5, 5, 5]",True,-
23,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",13,17,"[2, 2, 2]",True,-
24,"[1, 1, 1]","[0, 0, 1]","[1, 1, 2]",13,17,"[2, 2, 2]",False,Agreement
25,"[1, 1, 1]","[0, 0, 0]","[1, 2, 1]",15,15,"[3, 3, 3]",True,-
26,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",15,15,"[1, 1, 1]",True,-
27,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",17,13,"[4, 4, 4]",True,-
28,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",19,11,"[2, 2, 2]",True,-
29,"[1, 1, 1]","[0, 0, 0]","[1, 0, 1]",10,20,"[3, None, 3]",True,-
30,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",17,13,"[3, 3, 3]",True,-
31,"[1, 1, 1]","[1, 1, 1]","[2, 2, 1]",17,13,"[1, 1, 1]",True,-
32,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",18,12,"[5, 5, 5]",True,-
33,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",14,16,"[3, 3, 3]",True,-
34,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",13,17,"[3, 3, 3]",True,-
35,"[1, 1, 1]","[0, 0, 0]","[1, 2, 1]",14,16,"[4, 4, 4]",True,-
36,"[1, 1, 1]","[0, 0, 0]","[0, 1, 1]",16,14,"[3, 3, 3]",True,-
37,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",14,16,"[2, 2, 2]",False,Agreement
38,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",13,17,"[5, 5, 5]",True,-
39,"[1, 1, 1]","[0, 0, 0]","[1, 2, 2]",16,14,"[5, 5, 5]",True,-
40,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",12,18,"[2, 2, 2]",True,-
41,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",13,17,"[4, 4, 4]",True,-
42,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",9,21,"[5, 5, 5]",True,-
43,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",16,14,"[5, 5, 5]",True,-
44,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[3, 3, 3]",True,-
45,"[1, 1, 1]","[0, 0, 0]","[1, 0, 1]",10,20,"[3, None, 3]",True,-
46,"[1, 1, 1]","[1, 1, 1]","[2, 3, 2]",15,15,"[2, 2, 2]",True,-
47,"[1, 1, 1]","[0, 0, 0]","[0, 0, 1]",7,23,"[5, 5, 5]",True,-
48,"[1, 1, 1]","[0, 0, 1]","[2, 2, 3]",21,9,"[3, 3, 3]",False,Agreement
49,"[1, 1, 1]","[0, 0, 0]","[2, 3, 2]",19,11,"[5, 5, 5]",True,-
50,"[1, 1, 1]","[1, 1, 1]","[1, 2, 2]",16,14,"[1, 1, 1]",True,-
51,"[1, 1, 1]","[0, 0, 0]","[3, 2, 2]",17,13,"[4, 4, 4]",True,-
52,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",14,16,"[5, 5, 5]",True,-
53,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",16,14,"[4, 4, 4]",True,-
54,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",13,17,"[5, 5, 5]",True,-
55,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",14,16,"[5, 5, 5]",True,-
56,"[1, 1, 1]","[0, 0, 0]","[3, 2, 3]",17,13,"[4, 4, 4]",True,-
57,"[1, 1, 1]","[0, 1, 1]","[0, 1, 1]",7,23,"[1, 1, 1]",False,Agreement
58,"[1, 1, 1]","[0, 0, 0]","[2, 2, 3]",18,12,"[4, 4, 4]",True,-
59,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",14,16,"[1, 1, 1]",True,-
60,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",18,12,"[4, 4, 4]",True,-
61,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",12,18,"[3, 3, 3]",True,-
62,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",20,10,"[3, 3, 3]",True,-
63,"[1, 1, 1]","[1, 1, 0]","[3, 3, 2]",18,12,"[3, 3, 3]",False,Agreement
64,"[1, 1, 1]","[1, 1, 1]","[2, 1, 1]",13,17,"[1, 1, 1]",True,-
65,"[1, 1, 1]","[0, 0, 0]","[2, 3, 2]",18,12,"[5, 5, 5]",True,-
66,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",18,12,"[2, 2, 2]",True,-
67,"[1, 1, 1]","[0, 0, 0]","[2, 3, 3]",22,8,"[5, 5, 5]",True,-
68,"[1, 1, 1]","[1, 1, 1]","[2, 3, 2]",19,11,"[2, 2, 2]",True,-
69,"[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",9,21,"[1, 1, 1]",True,-
70,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",18,12,"[5, 5, 5]",True,-
71,"[1, 1, 1]","[0, 0, 0]","[1, 2, 2]",17,13,"[3, 3, 3]",True,-
72,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",10,20,"[5, 5, 5]",True,-
73,"[1, 1, 1]","[1, 1, 1]","[3, 2, 3]",20,10,"[1, 1, 1]",True,-
74,"[1, 1, 1]","[1, 1, 1]","[3, 3, 3]",20,10,"[2, 2, 2]",True,-
75,"[1, 1, 1]","[0, 0, 0]","[1, 2, 1]",13,17,"[4, 4, 4]",True,-
76,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[4, 4, 4]",True,-
77,"[1, 1, 1]","[1, 1, 1]","[2, 1, 2]",15,15,"[1, 1, 1]",True,-
78,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",16,14,"[4, 4, 4]",True,-
79,"[1, 1, 1]","[1, 1, 1]","[2, 2, 1]",17,13,"[1, 1, 1]",True,-
80,"[1, 1, 1]","[1, 1, 1]","[3, 3, 2]",16,14,"[2, 2, 2]",True,-
81,"[1, 1, 1]","[1, 1, 1]","[1, 2, 2]",17,13,"[1, 1, 1]",True,-
82,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",13,17,"[5, 5, 5]",True,-
83,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",9,21,"[5, 5, 5]",True,-
84,"[1, 1, 1]","[0, 0, 0]","[2, 2, 3]",16,14,"[5, 5, 5]",True,-
85,"[1, 1, 1]","[0, 0, 0]","[2, 1, 1]",16,14,"[3, 3, 3]",True,-
86,"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]",16,14,"[2, 2, 2]",True,-
87,"[1, 1, 1]","[0, 0, 0]","[1, 2, 1]",16,14,"[4, 4, 4]",True,-
88,"[1, 1, 1]","[0, 0, 0]","[2, 1, 1]",16,14,"[4, 4, 4]",True,-
89,"[1, 1, 1]","[1, 1, 1]","[3, 2, 2]",16,14,"[1, 1, 1]",True,-
90,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
91,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",14,16,"[5, 5, 5]",True,-
92,"[1, 1, 1]","[0, 0, 0]","[3, 2, 2]",17,13,"[4, 4, 4]",True,-
93,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",8,22,"[2, 2, 2]",True,-
94,"[1, 1, 1]","[1, 1, 1]","[2, 3, 2]",16,14,"[1, 1, 1]",True,-
95,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
96,"[1, 1, 1]","[0, 0, 0]","[2, 3, 2]",12,18,"[5, 5, 5]",True,-
97,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",17,13,"[2, 2, 2]",True,-
98,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",15,15,"[1, 1, 1]",True,-
99,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",14,16,"[3, 3, 3]",True,-
100,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",15,15,"[2, 2, 2]",False,Agreement
101,"[1, 1, 1]","[1, 1, 0]","[2, 2, 1]",11,19,"[2, 2, 2]",False,Agreement
102,"[1, 1, 1]","[1, 1, 1]","[2, 1, 2]",14,16,"[1, 1, 1]",True,-
103,"[1, 1, 1]","[0, 0, 1]","[2, 2, 3]",18,12,"[3, 3, 3]",False,Agreement
104,"[1, 1, 1]","[0, 0, 0]","[2, 1, 1]",14,16,"[4, 4, 4]",True,-
105,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",14,16,"[5, 5, 5]",True,-
106,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",12,18,"[4, 4, 4]",True,-
107,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",13,17,"[4, 4, 4]",True,-
108,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
109,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",17,13,"[5, 5, 5]",True,-
110,"[1, 1, 1]","[1, 1, 1]","[2, 3, 2]",23,7,"[2, 2, 2]",True,-
111,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",17,13,"[2, 2, 2]",True,-
112,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",17,13,"[2, 2, 2]",True,-
113,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",16,14,"[2, 2, 2]",False,Agreement
114,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",11,19,"[3, 3, 3]",True,-
115,"[1, 1, 1]","[1, 1, 1]","[2, 3, 3]",22,8,"[2, 2, 2]",True,-
116,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",15,15,"[3, 3, 3]",True,-
117,"[1, 1, 1]","[0, 0, 0]","[3, 2, 2]",19,11,"[4, 4, 4]",True,-
118,"[1, 1, 1]","[1, 0, 0]","[3, 2, 2]",16,14,"[3, 3, 3]",False,Agreement
119,"[1, 1, 1]","[0, 0, 0]","[3, 3, 3]",18,12,"[5, 5, 5]",True,-
120,"[1, 1, 1]","[0, 1, 1]","[1, 2, 2]",10,20,"[2, 2, 2]",False,Agreement
121,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",18,12,"[4, 4, 4]",True,-
122,"[1, 1, 1]","[1, 1, 1]","[1, 2, 1]",11,19,"[1, 1, 1]",True,-
123,"[1, 1, 1]","[0, 0, 0]","[2, 1, 2]",14,16,"[3, 3, 3]",True,-
124,"[1, 1, 1]","[1, 1, 1]","[2, 3, 3]",16,14,"[1, 1, 1]",True,-
125,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",20,10,"[3, 3, 3]",True,-
126,"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]",13,17,"[2, 2, 2]",True,-
127,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",16,14,"[4, 4, 4]",True,-
128,"[1, 1, 1]","[0, 0, 0]","[2, 3, 2]",18,12,"[5, 5, 5]",True,-
129,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",17,13,"[4, 4, 4]",True,-
130,"[1, 1, 1]","[1, 1, 1]","[3, 3, 2]",19,11,"[2, 2, 2]",True,-
131,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",13,17,"[2, 2, 2]",False,Agreement
132,"[1, 1, 1]","[0, 0, 0]","[1, 1, 1]",12,18,"[4, 4, 4]",True,-
133,"[1, 1, 1]","[0, 0, 1]","[2, 2, 3]",14,16,"[3, 3, 3]",False,Agreement
134,"[1, 1, 1]","[0, 0, 0]","[2, 1, 1]",16,14,"[3, 3, 3]",True,-
135,"[1, 1, 1]","[0, 0, 0]","[3, 3, 3]",18,12,"[5, 5, 5]",True,-
136,"[1, 1, 1]","[1, 1, 0]","[2, 2, 1]",20,10,"[2, 2, 2]",False,Agreement
137,"[1, 1, 1]","[1, 0, 1]","[2, 1, 2]",14,16,"[2, 2, 2]",False,Agreement
138,"[1, 1, 1]","[1, 1, 1]","[2, 2, 2]",16,14,"[1, 1, 1]",True,-
139,"[1, 1, 1]","[0, 0, 0]","[2, 2, 1]",15,15,"[5, 5, 5]",True,-
140,"[1, 1, 1]","[0, 0, 0]","[2, 2, 3]",19,11,"[4, 4, 4]",True,-
141,"[1, 1, 1]","[1, 1, 1]","[2, 2, 1]",16,14,"[1, 1, 1]",True,-
142,"[1, 1, 1]","[1, 1, 0]","[2, 2, 1]",20,10,"[2, 2, 2]",False,Agreement
143,"[1, 1, 1]","[0, 0, 0]","[1, 2, 2]",12,18,"[5, 5, 5]",True,-
144,"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]",15,15,"[2, 2, 2]",True,-
145,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",15,15,"[5, 5, 5]",True,-
146,"[1, 1, 1]","[0, 0, 0]","[1, 2, 1]",14,16,"[5, 5, 5]",True,-
147,"[1, 1, 1]","[1, 1, 1]","[2, 2, 1]",16,14,"[1, 1, 1]",True,-
148,"[1, 1, 1]","[1, 1, 0]","[3, 3, 2]",17,13,"[3, 3, 3]",False,Agreement
149,"[1, 1, 1]","[1, 1, 1]","[3, 3, 3]",20,10,"[1, 1, 1]",True,-
150,"[1, 1, 1]","[0, 0, 0]","[1, 1, 2]",13,17,"[5, 5, 5]",True,-
151,"[1, 1, 1]","[1, 1, 1]","[2, 2, 3]",18,12,"[2, 2, 2]",True,-
152,"[1, 1, 1]","[0, 0, 0]","[1, 0, 1]",10,20,"[4, None, 4]",True,-
153,"[1, 1, 1]","[0, 0, 0]","[2, 2, 2]",16,14,"[5, 5, 5]",True,-
